NMFS_DNA_ID_use,SAMPLE_ID,GENUS,SPECIES,LENGTH,WEIGHT,REPORTED_LIFE_STAGE,COLLECTION_DATE,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,inversion_call,Water_Name,Site,Treatment,Treatment.Temp,Start.Temp_C,LOE.Temp_C
M145489,BC-01,Oncorhynchus,mykiss,178,57.6,Juvenile,8/27/24,M145489,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.3,30.6
M145490,BC-02,Oncorhynchus,mykiss,165,54.3,Juvenile,8/27/24,M145490,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.3,30.6
M145491,BC-03,Oncorhynchus,mykiss,173,56.2,Juvenile,8/27/24,M145491,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.3,30.6
M145492,BC-04,Oncorhynchus,mykiss,85,8.1,Juvenile,8/27/24,M145492,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.3,30.6
M145493,BC-05,Oncorhynchus,mykiss,90,7.6,Juvenile,8/27/24,M145493,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.3,30.7
M145494,BC-06,Oncorhynchus,mykiss,104,13.3,Juvenile,8/27/24,M145494,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.3,30.7
M145495,BC-07,Oncorhynchus,mykiss,135,23.4,Juvenile,8/27/24,M145495,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.1,30.2
M145496,BC-08,Oncorhynchus,mykiss,178,59.9,Juvenile,8/27/24,M145496,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.1,30.8
M145497,BC-09,Oncorhynchus,mykiss,189,75.6,Juvenile,8/27/24,M145497,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.1,30.8
M145498,BC-10,Oncorhynchus,mykiss,201,78.1,Juvenile,8/27/24,M145498,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.1,30.8
M145499,BC-11,Oncorhynchus,mykiss,150,35.3,Juvenile,8/27/24,M145499,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.1,30.7
M145500,BC-12,Oncorhynchus,mykiss,184,69.5,Juvenile,8/27/24,M145500,California,Monterey,Big Creek,AR,Big Creek,Big Sur,1,16.5,16.1,30.7
M145501,BC-13,Oncorhynchus,mykiss,163,43.9,Juvenile,8/27/24,M145501,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.1,30.7
M145502,BC-14,Oncorhynchus,mykiss,170,47.6,Juvenile,8/27/24,M145502,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.4
M145503,BC-15,Oncorhynchus,mykiss,123,18.5,Juvenile,8/27/24,M145503,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.3
M145504,BC-16,Oncorhynchus,mykiss,181,69.3,Juvenile,8/27/24,M145504,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.3
M145505,BC-17,Oncorhynchus,mykiss,152,39.3,Juvenile,8/27/24,M145505,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.4
M145506,BC-18,Oncorhynchus,mykiss,107,14.1,Juvenile,8/27/24,M145506,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.4
M145507,BC-19,Oncorhynchus,mykiss,110,13.3,Juvenile,8/27/24,M145507,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.4
M145508,BC-20,Oncorhynchus,mykiss,112,14.2,Juvenile,8/27/24,M145508,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,16.6,30.8
M145509,BC-21,Oncorhynchus,mykiss,139,27.3,Juvenile,8/27/24,M145509,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,17,30.4
M145510,BC-22,Oncorhynchus,mykiss,82,6.5,Juvenile,8/27/24,M145510,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,17,30.6
M145511,BC-23,Oncorhynchus,mykiss,112,12.5,Juvenile,8/27/24,M145511,California,Monterey,Big Creek,AA,Big Creek,Big Sur,1,16.5,17,30.9
