"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"1","M145489","M145490",-17.2513616232073,92
"2","M145489","M145491",-10.0020162343595,92
"3","M145489","M145492",-16.8225168932705,92
"4","M145489","M145493",-10.8695417960595,90
"5","M145489","M145494",-19.6666023451511,92
"6","M145489","M145495",-9.4057072010022,93
"7","M145489","M145496",-13.2197158421508,92
"8","M145489","M145497",-12.9087868598119,91
"9","M145489","M145498",-11.5302215226571,93
"10","M145489","M145499",-17.9426601892785,91
"11","M145489","M145500",-10.2477631536338,93
"12","M145489","M145501",-14.6233598507728,91
"13","M145489","M145502",-21.6829112939097,92
"14","M145489","M145503",-21.6768267396313,90
"15","M145489","M145504",-21.9904046527103,93
"16","M145489","M145505",-22.7527994924358,92
"17","M145489","M145506",-16.6414641434911,92
"18","M145489","M145507",-17.7052543414053,92
"19","M145489","M145508",-18.8313453835854,93
"20","M145489","M145509",-26.0532927005386,93
"21","M145489","M145510",-20.2058932791391,92
"22","M145489","M145511",-17.2993318443842,93
"23","M145489","M145512",-3.76021595581713,92
"24","M145489","M145513",-4.88396418187423,92
"25","M145489","M145514",-20.8577377845072,92
"26","M145489","M145515",-14.548854008429,93
"27","M145489","M145516",-14.5523762529993,92
"28","M145489","M145517",-0.535086426141361,93
"29","M145489","M145518",-8.07326080542428,93
"30","M145489","M145519",-14.2645941861973,92
"31","M145489","M145520",-21.7079721935549,93
"32","M145489","M145521",-17.1773552194639,91
"33","M145489","M145522",-20.3353074214442,93
"34","M145489","M145523",-19.0219234945509,93
"35","M145489","M145524",-21.0010151246026,93
"36","M145489","M145525",-24.4037594846379,93
"37","M145489","M145526",-10.0226145900875,91
"38","M145489","M145527",-10.2797384574621,91
"39","M145489","M145528",-12.4366970834417,92
"40","M145489","M145529",-16.5682248765745,92
"41","M145489","M145530",1.33004015237076,92
"42","M145489","M145531",-17.4353481283305,93
"43","M145489","M145532",-21.5720505544953,93
"44","M145489","M145533",-7.82862643070447,92
"45","M145489","M145534",-8.78915314752531,91
"46","M145489","M145535",-17.2536932433068,91
"47","M145489","M145536",-20.3039660906632,92
"48","M145489","M145537",-8.04378207394512,88
"49","M145489","M145538",-15.2140210847447,93
"50","M145489","M145539",-12.2201904776717,92
"51","M145489","M145540",-16.5586546581466,91
"52","M145489","M145541",-15.5516838447978,90
"53","M145489","M145542",-14.2198953279508,93
"54","M145489","M145543",-15.1001997112893,92
"55","M145489","M145544",-22.6525711621678,93
"56","M145489","M145545",-17.075993770979,93
"57","M145489","M145546",-6.84601700765058,93
"58","M145489","M145547",-25.0186636289542,93
"59","M145489","M145548",5.31883354271485,93
"60","M145489","M145549",-21.4644994449967,93
"61","M145489","M145550",-24.2505121601317,93
"62","M145489","M145551",-17.83792206911,93
"63","M145489","M145552",-15.8346867946735,93
"64","M145489","M145553",-12.6712285346245,93
"65","M145489","M145554",-22.9927460996065,93
"66","M145489","M145555",-7.3998514158132,91
"67","M145489","M145556",-6.8803715341526,92
"68","M145489","M145557",-16.0588467003702,92
"69","M145489","M145558",-18.5396860101674,92
"70","M145489","M145559",-12.6729861242017,93
"71","M145489","M145560",-13.73789220404,91
"72","M145489","M145561",-8.10823261601463,93
"73","M145489","M145562",-19.9700441531769,93
"74","M145489","M145563",-19.7051560189223,92
"75","M145489","M145564",-23.4921084754447,86
"76","M145489","M145565",-19.1000102455965,93
"77","M145489","M145566",-11.7798727750372,93
"78","M145489","M145567",-7.3420847120391,91
"79","M145489","M145568",-17.1259815389847,92
"80","M145489","M145569",1.14057956394783,92
"81","M145489","M145570",-15.836693060798,92
"82","M145489","M145571",-22.3633885853351,93
"83","M145489","M145572",-21.7977462158578,92
"84","M145489","M145573",-15.5497457563922,91
"85","M145489","M145574",-13.705275667124,91
"86","M145489","M145575",-14.8926250203862,62
"87","M145489","M145576",-11.5724756559737,93
"88","M145489","M145577",-8.80443906606245,93
"89","M145489","M145578",-15.4006050288671,93
"90","M145489","M145579",-22.2467874043376,92
"91","M145489","M145580",-12.9887786064677,93
"92","M145489","M145581",-17.9503633653897,93
"93","M145489","M145582",-19.7359098868964,92
"94","M145489","M145583",-9.04959517495476,91
"95","M145489","M145584",-15.5222183529116,92
"96","M145489","M145585",-22.8904299926707,88
"97","M145489","M145586",-13.6749533635441,93
"98","M145489","M145587",-15.9613006001128,93
"99","M145489","M145588",-7.82521149888777,69
"100","M145489","M145589",-13.6390200224654,92
"101","M145489","M145590",-25.8693229208821,92
"102","M145489","M145591",-7.78557319627106,92
"103","M145489","M145592",-12.1868204727676,77
"104","M145489","M145593",-17.4698039828029,93
"105","M145489","M145594",-15.9354640742096,93
"106","M145489","M145595",-8.9537511598596,92
"107","M145489","M145596",-16.0272636920752,93
"108","M145489","M145597",-21.6600577958992,88
"109","M145489","M145598",-14.2670619146999,93
"110","M145489","M145599",-12.9733088059994,93
"111","M145489","M145600",-11.0071606917498,91
"112","M145489","M145601",-10.5170036137072,87
"113","M145489","M145602",-10.4175930371697,93
"114","M145489","M145603",-13.3451115276489,92
"115","M145489","M145604",-10.4824666443341,93
"116","M145489","M145605",-17.2883128503484,92
"117","M145489","M145606",-23.5048467863914,93
"118","M145489","M145607",-26.3827512654555,91
"119","M145489","M145608",-15.2485897681046,91
"120","M145489","M145609",-8.88940739026814,93
"121","M145489","M145610",-9.41887111534923,93
"122","M145489","M145611",-10.0711402360409,93
"123","M145489","M145612",-20.4842569558725,92
"124","M145489","M145613",-11.4441193009233,92
"125","M145489","M145614",-7.73631881146667,87
"126","M145489","M145615",-19.4678375306067,92
"127","M145489","M145616",-18.788165843112,92
"128","M145489","M145617",-22.1960410500381,90
"129","M145489","M145618",-14.4902302356842,93
"130","M145489","M145619",-13.6417189970297,93
"131","M145489","M145620",-7.2104357299273,93
"132","M145489","M145621",-13.8598305449517,93
"133","M145489","M145622",-10.0125538668848,91
"134","M145489","M145623",-19.4673354308463,93
"135","M145489","M145624",-12.2823329524695,92
"136","M145489","M145625",-14.1777517939342,92
"137","M145489","M145626",-13.7519594410034,93
"138","M145489","M145627",-12.4444915137946,93
"139","M145489","M145628",-5.43483523479834,91
"140","M145489","M145629",-14.2047907395563,93
"141","M145489","M145630",-14.0213647004862,93
"142","M145489","M145631",-12.4102386042324,92
"143","M145489","M145632",-4.9607895866786,61
"144","M145489","M145633",-7.96288451133842,88
"145","M145489","M145634",-1.84670849207631,92
"146","M145489","M145635",-7.09875180165713,86
