"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"1","M145494","M145524",43.0952270156338,93
"2","M145542","M145767",41.1342226324725,93
"3","M145595","M145692",31.5709314289626,93
"4","M145637","M145675",31.4805145444846,95
"5","M145810","M145833",28.7200740532391,94
"6","M145932","M145937",28.4646440620182,95
"7","M145871","M145872",28.4122518746258,94
"8","M145819","M145833",27.0075584722077,95
"9","M145800","M145812",26.5191439164753,89
"10","M145966","M145968",25.8819278654175,95
"11","M145697","M145761",25.5972636558953,91
"12","M145650","M145687",25.0841261881565,94
"13","M145501","M145509",24.9479525650576,93
"14","M145790","M145816",24.9097763188939,93
"15","M145495","M145509",24.9074246665901,95
"16","M145518","M145533",24.56322172643,94
"17","M145822","M145824",24.402379257114,94
"18","M145814","M145821",24.3635334805904,94
"19","M145939","M145958",24.0267602035633,94
"20","M145811","M145821",23.6822440942544,94
"21","M145619","M145688",23.3352757605396,95
"22","M145756","M145781",23.2438869837692,93
"23","M145815","M145831",23.2068666013737,94
"24","M145532","M145564",23.0725304740331,88
"25","M145790","M145815",22.8203973103283,93
"26","M145844","M145854",22.7136731476017,94
"27","M145843","M145861",22.7030372769534,95
"28","M145503","M145563",22.5626891204149,91
"29","M145705","M145756",22.4725793981948,93
"30","M145815","M145821",22.3519427220713,94
"31","M145843","M145854",22.2942220053917,94
"32","M145811","M145814",22.2277341450619,95
"33","M145809","M145831",22.1941229240498,95
"34","M145723","M145782",22.1890422323548,93
"35","M145815","M145824",22.1525519880794,94
"36","M145571","M145572",22.0812064044974,94
"37","M145734","M145753",21.825751702194,92
"38","M145815","M145822",21.6901923654987,94
"39","M145498","M145527",21.6107564187018,93
"40","M145718","M145783",21.5923229343565,91
"41","M145815","M145816",21.5381225814186,94
"42","M145513","M145561",21.4552088456379,94
"43","M145600","M145605",21.3907683292037,92
"44","M145796","M145797",21.3823441049304,94
"45","M145736","M145748",21.349806075645,91
"46","M145709","M145711",21.3424529135311,93
"47","M145499","M145501",21.2740959940245,91
"48","M145516","M145522",21.0779784693283,94
"49","M145696","M145747",21.0223588405667,95
"50","M145551","M145582",20.8685379842551,94
"51","M145740","M145762",20.7912189100318,95
"52","M145560","M145880",20.730916629473,93
"53","M145499","M145509",20.6636753623702,93
"54","M145496","M145529",20.6262040682775,93
"55","M145816","M145824",20.5886307391217,94
"56","M145936","M145941",20.5845295084237,95
"57","M145761","M145784",20.4869140004349,91
"58","M145705","M145781",20.4202047272162,95
"59","M145820","M145826",20.2019409979071,93
"60","M145525","M145582",20.1986984379221,94
"61","M145748","M145758",20.0707946666511,91
"62","M145745","M145764",20.0639573117001,91
"63","M145525","M145578",20.0566812333693,95
"64","M145811","M145822",20.0304201509555,94
"65","M145695","M145719",19.9520176767005,94
"66","M145808","M145814",19.9503312562584,94
"67","M145716","M145718",19.8815917113931,92
"68","M145800","M145828",19.8305979942259,95
"69","M145549","M145551",19.7136125587173,95
"70","M145826","M145836",19.5617428351761,94
"71","M145744","M145748",19.5170007175564,92
"72","M145790","M145831",19.4106998331416,93
"73","M145502","M145558",19.3540257122888,93
"74","M145944","M145957",19.3193022708098,93
"75","M145760","M145776",19.2863669024696,94
"76","M145547","M145572",19.199104209575,94
"77","M145550","M145590",19.1197361620139,94
"78","M145930","M145934",19.0435791894338,94
"79","M145816","M145822",19.0421852161328,94
"80","M145515","M145516",19.0414397254489,94
"81","M145695","M145722",19.0314086861321,93
"82","M145811","M145824",18.9893730845366,94
"83","M145790","M145814",18.9110283441483,93
"84","M145697","M145784",18.9030397432082,92
"85","M145495","M145501",18.8880288326841,93
"86","M145934","M145966",18.8677871365135,95
"87","M145534","M145591",18.8331845381595,92
"88","M145716","M145744",18.8180013635568,93
"89","M145822","M145831",18.799003793831,94
"90","M145925","M145941",18.7216472257365,95
"91","M145742","M145783",18.6705834543352,91
"92","M145495","M145499",18.585586127496,93
"93","M145811","M145816",18.556557703877,95
"94","M145571","M145582",18.5194217044993,94
"95","M145758","M145776",18.4639832819332,92
"96","M145731","M145756",18.4100197229835,93
"97","M145854","M145861",18.3637946341742,94
"98","M145509","M145767",18.3329030554147,93
"99","M145753","M145779",18.2778955749234,93
"100","M145525","M145584",18.2491884806787,93
"101","M145718","M145750",18.2486800036551,93
"102","M145718","M145755",18.1923639094492,91
"103","M145756","M145839",18.1709259367344,92
"104","M145808","M145813",18.1487721527007,93
"105","M145710","M145781",18.1314172060477,93
"106","M145955","M145962",18.1219327741582,94
"107","M145511","M145551",18.1201736735446,95
"108","M145554","M145581",18.0879732717795,95
"109","M145706","M145764",18.0686150407413,94
"110","M145809","M145824",17.9101973985149,94
"111","M145753","M145839",17.8904953300426,94
"112","M145724","M145771",17.8565170478308,92
"113","M145490","M145536",17.8309729178098,93
"114","M145635","M145669",17.8172806708156,88
"115","M145843","M145844",17.8040845659474,94
"116","M145813","M145816",17.790825762893,93
"117","M145734","M145839",17.7371883213105,91
"118","M145738","M145750",17.683871430364,95
"119","M145495","M145767",17.6803303694907,93
"120","M145724","M145752",17.6102509043027,94
"121","M145802","M145815",17.6008140799986,94
"122","M145934","M145968",17.586880345332,95
"123","M145809","M145815",17.5804848416613,94
"124","M145854","M145859",17.5574168375049,94
"125","M145534","M145567",17.5515696456829,92
"126","M145572","M145578",17.5060305598614,94
"127","M145798","M145803",17.469375671776,95
"128","M145514","M145524",17.450644581933,93
"129","M145525","M145547",17.4501886806802,95
"130","M145716","M145748",17.4347003546021,92
"131","M145624","M145689",17.4212292799183,93
"132","M145578","M145584",17.4161152691312,93
"133","M145802","M145808",17.401167772246,93
"134","M145551","M145578",17.390105930905,95
"135","M145509","M145542",17.3217216141701,95
"136","M145718","M145742",17.2573029704517,92
"137","M145790","M145813",17.2384557310727,93
"138","M145547","M145873",17.1847693269035,91
"139","M145494","M145514",17.1640008178993,92
"140","M145748","M145760",17.1545073987415,92
"141","M145553","M145581",17.0921178249915,95
"142","M145811","M145815",17.0831141049115,94
"143","M145499","M145542",17.0555175268193,93
"144","M145801","M145819",17.0400524746228,95
"145","M145716","M145774",16.8551443825568,91
"146","M145714","M145750",16.8515329616188,94
"147","M145578","M145873",16.8357878777416,91
"148","M145499","M145767",16.8095109102278,91
"149","M145565","M145578",16.7354474501452,95
"150","M145507","M145863",16.7146748485778,94
"151","M145567","M145591",16.7050094227845,92
"152","M145702","M145774",16.6863104544768,90
"153","M145520","M145553",16.6441408848973,95
"154","M145731","M145779",16.5149598134472,93
"155","M145788","M145806",16.5099028191114,94
"156","M145800","M145820",16.4727722645308,94
"157","M145761","M145775",16.4678219612246,90
"158","M145538","M145863",16.430842685458,94
"159","M145603","M145667",16.3268411493136,94
"160","M145630","M145647",16.2945653246589,95
"161","M145522","M145536",16.2795751752871,94
"162","M145578","M145582",16.2469693985427,94
"163","M145551","M145565",16.2363250683184,95
"164","M145502","M145767",16.2249489108851,92
"165","M145814","M145815",16.1906345847738,94
"166","M145844","M145848",16.1899925442511,94
"167","M145716","M145738",16.1769755925121,94
"168","M145911","M145952",16.1551935752239,92
"169","M145525","M145572",16.1543941197591,94
"170","M145508","M145525",16.1427857991672,95
"171","M145749","M145759",16.0961942811791,93
"172","M145781","M145839",16.0578491538873,94
"173","M145808","M145825",16.0532970305014,91
"174","M145722","M145782",16.0366130075973,92
"175","M145790","M145825",16.0240478348118,91
"176","M145716","M145736",16.0099070498863,92
"177","M145501","M145502",15.9721326522077,93
"178","M145609","M145687",15.9713550651762,94
"179","M145716","M145783",15.94093348359,91
"180","M145587","M145590",15.9294097844637,94
"181","M145813","M145815",15.9275646439513,93
"182","M145547","M145571",15.9240371979033,95
"183","M145493","M145567",15.8899942749937,91
"184","M145738","M145783",15.8855322946718,92
"185","M145525","M145571",15.8545115011526,95
"186","M145592","M145881",15.8439170042927,78
"187","M145750","M145774",15.8254050501631,92
"188","M145495","M145542",15.8089523770529,95
"189","M145525","M145873",15.7360741737825,91
"190","M145935","M145968",15.6620884262288,95
"191","M145941","M145956",15.6291652963456,94
"192","M145609","M145650",15.5969463625636,95
"193","M145916","M145962",15.5728056397276,94
"194","M145843","M145857",15.5712315246785,94
"195","M145814","M145825",15.5673301734526,92
"196","M145925","M145956",15.564596941976,94
"197","M145758","M145760",15.5570461474259,92
"198","M145541","M145555",15.5381623255334,90
"199","M145738","M145774",15.5355529365582,92
"200","M145511","M145549",15.5216735148559,95
"201","M145547","M145551",15.4993678168819,95
