"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"1","Big Sur 2024","Big Sur",2024-08-19 12:00:00,2024-08-19,12:00:00,15.44,"2024",2043
"2","Big Sur 2024","Big Sur",2024-08-19 12:05:00,2024-08-19,12:05:00,15.53,"2024",2043
"3","Big Sur 2024","Big Sur",2024-08-19 12:10:00,2024-08-19,12:10:00,15.61,"2024",2043
"4","Big Sur 2024","Big Sur",2024-08-19 12:15:00,2024-08-19,12:15:00,16.34,"2024",2043
"5","Big Sur 2024","Big Sur",2024-08-19 12:20:00,2024-08-19,12:20:00,16.94,"2024",2043
"6","Big Sur 2024","Big Sur",2024-08-19 12:25:00,2024-08-19,12:25:00,16.47,"2024",2043
"7","Big Sur 2024","Big Sur",2024-08-19 12:30:00,2024-08-19,12:30:00,16.86,"2024",2043
"8","Big Sur 2024","Big Sur",2024-08-19 12:35:00,2024-08-19,12:35:00,16.73,"2024",2043
"9","Big Sur 2024","Big Sur",2024-08-19 12:40:00,2024-08-19,12:40:00,16.94,"2024",2043
"10","Big Sur 2024","Big Sur",2024-08-19 12:45:00,2024-08-19,12:45:00,16.17,"2024",2043
"11","Big Sur 2024","Big Sur",2024-08-19 12:50:00,2024-08-19,12:50:00,16.04,"2024",2043
"12","Big Sur 2024","Big Sur",2024-08-19 12:55:00,2024-08-19,12:55:00,16.08,"2024",2043
"13","Big Sur 2024","Big Sur",2024-08-19 13:00:00,2024-08-19,13:00:00,16.21,"2024",2043
"14","Big Sur 2024","Big Sur",2024-08-19 13:05:00,2024-08-19,13:05:00,16.21,"2024",2043
"15","Big Sur 2024","Big Sur",2024-08-19 13:10:00,2024-08-19,13:10:00,16.56,"2024",2043
"16","Big Sur 2024","Big Sur",2024-08-19 13:15:00,2024-08-19,13:15:00,16.6,"2024",2043
"17","Big Sur 2024","Big Sur",2024-08-19 13:20:00,2024-08-19,13:20:00,17.11,"2024",2043
"18","Big Sur 2024","Big Sur",2024-08-19 13:25:00,2024-08-19,13:25:00,17.2,"2024",2043
"19","Big Sur 2024","Big Sur",2024-08-19 13:30:00,2024-08-19,13:30:00,17.29,"2024",2043
"20","Big Sur 2024","Big Sur",2024-08-19 13:35:00,2024-08-19,13:35:00,17.41,"2024",2043
"21","Big Sur 2024","Big Sur",2024-08-19 13:40:00,2024-08-19,13:40:00,17.5,"2024",2043
"22","Big Sur 2024","Big Sur",2024-08-19 13:45:00,2024-08-19,13:45:00,17.54,"2024",2043
"23","Big Sur 2024","Big Sur",2024-08-19 13:50:00,2024-08-19,13:50:00,17.59,"2024",2043
"24","Big Sur 2024","Big Sur",2024-08-19 13:55:00,2024-08-19,13:55:00,17.67,"2024",2043
"25","Big Sur 2024","Big Sur",2024-08-19 14:00:00,2024-08-19,14:00:00,17.76,"2024",2043
"26","Big Sur 2024","Big Sur",2024-08-19 14:05:00,2024-08-19,14:05:00,17.8,"2024",2043
"27","Big Sur 2024","Big Sur",2024-08-19 14:10:00,2024-08-19,14:10:00,17.8,"2024",2043
"28","Big Sur 2024","Big Sur",2024-08-19 14:15:00,2024-08-19,14:15:00,17.84,"2024",2043
"29","Big Sur 2024","Big Sur",2024-08-19 14:20:00,2024-08-19,14:20:00,17.93,"2024",2043
"30","Big Sur 2024","Big Sur",2024-08-19 14:25:00,2024-08-19,14:25:00,17.89,"2024",2043
"31","Big Sur 2024","Big Sur",2024-08-19 14:30:00,2024-08-19,14:30:00,17.97,"2024",2043
"32","Big Sur 2024","Big Sur",2024-08-19 14:35:00,2024-08-19,14:35:00,17.97,"2024",2043
"33","Big Sur 2024","Big Sur",2024-08-19 14:40:00,2024-08-19,14:40:00,17.97,"2024",2043
"34","Big Sur 2024","Big Sur",2024-08-19 14:45:00,2024-08-19,14:45:00,17.93,"2024",2043
"35","Big Sur 2024","Big Sur",2024-08-19 14:50:00,2024-08-19,14:50:00,18.02,"2024",2043
"36","Big Sur 2024","Big Sur",2024-08-19 14:55:00,2024-08-19,14:55:00,18.02,"2024",2043
"37","Big Sur 2024","Big Sur",2024-08-19 15:00:00,2024-08-19,15:00:00,18.1,"2024",2043
"38","Big Sur 2024","Big Sur",2024-08-19 15:05:00,2024-08-19,15:05:00,18.06,"2024",2043
"39","Big Sur 2024","Big Sur",2024-08-19 15:10:00,2024-08-19,15:10:00,18.06,"2024",2043
"40","Big Sur 2024","Big Sur",2024-08-19 15:15:00,2024-08-19,15:15:00,18.1,"2024",2043
"41","Big Sur 2024","Big Sur",2024-08-19 15:20:00,2024-08-19,15:20:00,18.06,"2024",2043
"42","Big Sur 2024","Big Sur",2024-08-19 15:25:00,2024-08-19,15:25:00,18.06,"2024",2043
"43","Big Sur 2024","Big Sur",2024-08-19 15:30:00,2024-08-19,15:30:00,18.06,"2024",2043
"44","Big Sur 2024","Big Sur",2024-08-19 15:35:00,2024-08-19,15:35:00,18.02,"2024",2043
"45","Big Sur 2024","Big Sur",2024-08-19 15:40:00,2024-08-19,15:40:00,18.02,"2024",2043
"46","Big Sur 2024","Big Sur",2024-08-19 15:45:00,2024-08-19,15:45:00,18.06,"2024",2043
"47","Big Sur 2024","Big Sur",2024-08-19 15:50:00,2024-08-19,15:50:00,17.97,"2024",2043
"48","Big Sur 2024","Big Sur",2024-08-19 15:55:00,2024-08-19,15:55:00,17.93,"2024",2043
